Reference,Quantity,Value,Footprint,Manufacturer,MPN,Layer,
TP1 TP10 TP11 TP12 TP14 TP15 TP16 TP17 TP2 TP3 TP4 TP5 TP7 TP8 TP9,15,TP_SMD1MM,Testpoint_smd_1mm,,,Virtual,
C1,1,C_10u_0402,0402-cap,TDK,C1005X5R0J106M050BC,Unknown,
C10 C11 C12 C14 C5 C6 C7 C8 C9,9,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,Unknown,
C13 C15,2,C_10n_0402,0402-cap,AVX,04025G103ZAT2A,Unknown,
C2 C3 C4,3,C_2u2_0402,0402-cap,TDK,C1005X5R1A225K050BC,Unknown,
J1 J2,2,543630489,543630489,Molex,543630489,Unknown,
R1 R15 R16 R17 R18 R19 R2 R20 R21 R22 R25 R26 R3 R4 R5 R6 R7 R8,18,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,Unknown,
R10 R12 R14 R23 R9,5,R_100R_0402,0402-res,BOURNS,CR0402-FX-1000GLF,Unknown,
R11,1,R_1k5_0402,0402-res,PANASONIC_ELECTRONIC_COMPONENTS,ERJ2RKF1501X,Unknown,
R13,1,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,Unknown,
R24,1,R_220R_0402,0402-res,TE_CONNECTIVITY_/_NEOHM,CRG0402J220R,Unknown,
U1,1,zGlue-GEM1,Z-Glue_LGA-96,zGlue/TSMC,GEM1,Unknown,
